#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
diablo	3.45	6.18	4.76	6.43	5.25	5.91
diamante	7.25	4.70	5.95	6.64	5.18	5.76
diccionario	5.05	3.65	6.75	6.82	6.09	6.41
diente	5.09	4.00	6.10	6.91	6.20	6.76
dieta	5.50	4.50	4.95	3.65	6.05	6.09
diferencia	4.82	4.40	3.40	2.13	4.77	6.85
dificultad	3.48	6.85	3.20	2.65	4.27	6.32
difunto	2.07	5.57	5.77	5.19	6.15	4.52
difusión	5.27	5.30	2.45	1.59	3.05	4.14
dignidad	7.30	4.95	2.50	2.62	4.27	6.15
dinámica	6.46	5.24	2.32	2.14	4.30	5.32
dinero	6.95	5.27	5.36	6.86	6.30	6.86
diosa	6.58	4.90	3.67	4.20	3.91	4.95
diputada	3.75	5.17	5.82	4.81	5.24	5.15
directora	5.77	5.55	4.71	4.60	5.32	6.26
disco	6.14	6.64	5.27	6.73	6.05	6.36
discusión	2.05	8.20	4.35	4.75	5.77	6.30
diseñadora	5.85	4.40	5.33	3.35	4.91	5.82
diseño	6.09	3.67	1.90	3.41	4.80	5.57
disertación	4.38	5.05	4.43	1.96	1.91	2.40
disgusto	1.74	7.45	3.91	2.45	4.82	5.68
disminución	3.00	3.86	2.95	2.24	3.74	4.68
disminuido	3.32	4.45	2.76	3.62	4.42	4.19
disparate	4.68	5.80	2.75	1.95	3.50	4.77
distorsión	2.77	5.95	2.65	3.05	2.88	4.95
distrito	4.55	4.32	4.30	3.96	3.64	3.64
disturbio	3.05	6.50	4.43	4.00	4.27	4.71
diversión	8.43	7.41	2.75	4.30	5.95	6.10
divinidad	5.79	4.29	1.85	2.52	2.80	3.75
división	4.20	4.18	3.05	4.55	4.55	5.82
divorcio	2.68	6.40	5.19	3.65	4.95	5.71
doctora	5.89	5.39	5.68	6.57	6.05	6.59
documento	4.82	4.50	4.45	6.55	5.50	6.14
dorada	6.14	4.20	4.29	5.55	3.91	4.86
dormitorio	7.30	3.09	6.41	6.87	6.77	6.50
dramatismo	3.95	7.40	3.05	3.20	3.64	5.00
drogadicta	1.27	6.30	5.80	5.57	4.61	5.50
